       Z A ab        |   abs_cyburt_sens    |   rel_cyburt_sens    | 
      62 30 pg       | 8.706554846976407e+37 |  8.003689977689554   | 
      94 45 pg       | 8.692021881465979e+37 |  7.990330232940192   | 
     116 52 pg       | 8.685740902705338e+37 |  7.984556306554823   | 
      30 16 ag       | 8.682484818033127e+37 |  7.981563079874979   | 
     107 49 pg       | 8.67723284619625e+37 |  7.976735090493104   | 
      83 38 pg       | 8.676796127926208e+37 |  7.976333627721383   | 
      26 13 ap       | 8.673995499166817e+37 |  7.973759088799072   | 
      32 16 pg       | 8.669155000907432e+37 |  7.9693093554560255  | 
      73 36 pg       | 8.665386226397944e+37 |  7.965844827488314   | 
     103 47 pa       | 8.661298028338667e+37 |  7.9620866624725375  | 
      42 22 ap       | 8.64836848327145e+37 |  7.950200896852339   | 
      24 14 ap       | 8.63026383707407e+37 |   7.93355780691994   | 
      25 15 pg       | 8.62639741355876e+37 |  7.9300035129790105  | 
      74 34 pg       | 8.626379606303861e+37 |  7.929987143272499   | 
      63 31 pa       | 8.615932570471229e+37 |  7.9203834782798825  | 
      52 24 ag       | 8.58672067690469e+37 |  7.893529809535232   | 
      62 34 gp       | 8.58461814406567e+37 |  7.891597010476684   | 
      53 24 pg       | 8.576136907801447e+37 |  7.8838004495086045  | 
     113 52 pa       | 8.570156848941782e+37 |  7.878303150289533   | 
     107 47 pg       | 8.564836821918568e+37 |  7.873412599696892   | 
      70 38 gp       | 8.542992392661978e+37 |  7.8533316328182385  | 
     115 52 pa       | 8.537620821169213e+37 |  7.848393698850474   | 
      97 49 gp       | 8.530631982433235e+37 |  7.8419690567813705  | 
      91 43 pg       | 8.517637317170321e+37 |  7.830023428004412   | 
      22 10 pg       | 8.50728165070494e+37 |  7.820503756290629   | 
     111 50 pg       | 8.47503846688467e+37 |  7.790863508026331   | 
     101 45 pa       | 8.470317141572946e+37 |   7.78652332700835   | 
      88 40 pg       | 8.465254646276956e+37 |  7.781869518059259   | 
      53 26 ap       | 8.464351063069122e+37 |  7.781038879535566   | 
      75 37 pg       | 8.455613111827119e+37 |  7.773006327738634   | 
      77 34 pa       | 8.452181652197614e+37 |  7.769851883813543   | 
      88 39 pg       | 8.447908600749206e+37 |  7.765923788297823   | 
      57 27 pg       | 8.42953939890368e+37 |  7.749037499829745   | 
      41 19 ap       | 8.4278487356607705e+37 |  7.747483320858757   | 
      62 29 pa       | 8.425113097067484e+37 |  7.744968525560675   | 
      50 25 pg       | 8.423347903836646e+37 |  7.743345833276683   | 
      86 45 gp       | 8.41251939176112e+37 |  7.733391487947741   | 
      77 37 pg       | 8.383494805339992e+37 |  7.706710005371882   | 
      29 18 ap       | 8.351812556554012e+37 |  7.6775854088425115  | 
      43 23 pg       | 8.347449071273942e+37 |  7.673574180059405   | 
      46 24 ap       | 8.346759665751629e+37 |   7.67294042903314   | 
      64 28 ag       | 8.341907790574176e+37 |  7.668480237210622   | 
      87 41 pa       | 8.341305977314499e+37 |  7.6679270072775925  | 
       2 1 pg        | 8.333959683828193e+37 |  7.661173767151857   | 
      74 33 pg       | 8.331232341288765e+37 |  7.658666598181789   | 
      58 28 pg       | 8.314271843332409e+37 |  7.643075291413986   | 
      53 29 gp       | 8.309730906653038e+37 |  7.638900936571137   | 
      85 39 pg       | 8.302077456770272e+37 |  7.631865336244939   | 
      69 32 pa       | 8.282856260454642e+37 |  7.6141958333227775  | 
      42 23 gp       | 8.278929742599728e+37 |  7.610586296352651   | 
      72 34 pa       | 8.278501125671196e+37 |  7.6101922809153795  | 
      54 28 ap       | 8.269737626345698e+37 |  7.602136243486828   | 
      11 5 ap        | 8.255588171193023e+37 |  7.589129048978134   | 
      98 44 pa       | 8.255547421450188e+37 |  7.589091588890413   | 
      64 28 pg       | 8.242166138750768e+37 |  7.576790553623039   | 
     104 51 pg       | 8.231115023268512e+37 |  7.566631575269123   | 
     100 48 pg       | 8.230738781428422e+37 |  7.566285706771462   | 
     110 49 ag       | 8.215371321042607e+37 |  7.552158834451213   | 
