# version 2
# time, mass, jx, jy, jz, px, py, pz
1.184914734455421481e+01  8.739438937821685986e+33  3.888799836081575835e+48  1.277130224101977194e+49  2.600315635688387639e+48 -1.783437094436431218e+41  5.656870021400684286e+40 -2.401404862048871151e+41
1.220677488715544357e+01  8.858079954862178052e+33  3.162156513255371752e+48  1.288806547182802355e+49  2.462070586464253095e+48 -1.754538737640106296e+41  5.583368601912559629e+40 -2.401752850724574242e+41
1.253460013453990207e+01  8.967530067269950913e+33  2.553359948722295001e+48  1.300206502192919810e+49  2.368698995675296068e+48 -1.723227133469290967e+41  5.491339685397715755e+40 -2.397277232406690289e+41
1.289222767714112905e+01  9.087718303142338170e+33  1.980893304749581193e+48  1.320130691278373709e+49  2.341330386530035594e+48 -1.689519382534077944e+41  5.371477636557722671e+40 -2.401645683110740357e+41
1.324985521974235780e+01  9.208062087896942553e+33  1.467969179970367254e+48  1.346963889149190304e+49  2.391076028255280094e+48 -1.660552142059726794e+41  5.307245589580416219e+40 -2.409185934873181946e+41
1.363728505756035503e+01  9.338517011512070725e+33  9.616607437868252006e+47  1.375435727272114615e+49  2.473811148850785576e+48 -1.632495770279558172e+41  5.230719169577982734e+40 -2.412756137538060047e+41
1.400981374776996624e+01  9.463894124330988879e+33  5.136830809505737629e+47  1.396361591006792731e+49  2.550051006527159704e+48 -1.606288805106976464e+41  5.137538843824581854e+40 -2.415130719860321041e+41
1.441214473319634770e+01  9.599227893278538871e+33  5.451769413253697240e+46  1.418593455580721919e+49  2.632306370459284718e+48 -1.577013131118974069e+41  5.030191360268163742e+40 -2.419971905623483452e+41
1.482937686623111340e+01  9.739537686623111209e+33 -3.732566147675706780e+47  1.438730393376702184e+49  2.755221817228665745e+48 -1.551869839485393440e+41  4.966723899038422132e+40 -2.426794834312104906e+41
1.524660899926587909e+01  9.879392699779763528e+33 -7.485303299749863106e+47  1.441222992660368432e+49  2.894679845251831266e+48 -1.528721269309950160e+41  4.927022351870517348e+40 -2.431638549610239011e+41
1.566384113230064479e+01  1.001850000000000007e+34 -1.111797154211351193e+48  1.425143093358560917e+49  2.992364742449366495e+48 -1.503924017133174584e+41  4.928954657571137156e+40 -2.435067122162985720e+41
1.611087556055218073e+01  1.016700000000000016e+34 -1.446830251936643206e+48  1.392614543369235200e+49  3.064723441999081979e+48 -1.483708261134922575e+41  4.903710949190242548e+40 -2.442149778854703701e+41
1.655790998880371490e+01  1.031460998880371512e+34 -1.715648889329462346e+48  1.348496957155319109e+49  3.167892438363938470e+48 -1.455717978820182491e+41  4.915045382640053319e+40 -2.454357378987730681e+41
1.703474671227202109e+01  1.047120000000000090e+34 -1.969774990475534920e+48  1.294680893096324972e+49  3.370539814963702355e+48 -1.422978837506874499e+41  4.948056890898264432e+40 -2.469180565133808834e+41
